C65,C66
C20,C23
C31,C38
C28,C29
C12,C13
C26,C4
C57,C61
C43,C44
C33,C4
C39,C40
C24,C64
C31,C32
C20,C21
C28,C33
C24,C7
C14,C7
C33,C34
C2,C34
C4,C6
C16,C17
C7,C8
C33,C37
C48,C50
C21,C4
C2,C25
C64,C9
C14,C53
C18,C27
C43,C9
C45,C70
C45,C69
C2,C3
C31,C41
C45,C57
C44,C9
C57,C60
C28,C42
C11,C47
C18,C63
C4,C7
C57,C62
C31,C60
C45,C68
C2,C33
C24,C40
C57,C58
C22,C23
C16,C33
C10,C9
C12,C9
C45,C67
C42,C43
C36,C52
C49,C9
C51,C52
C31,C53
C2,C24
C20,C22
C57,C59
C36,C40
C38,C40
C26,C29
C47,C48
C31,C59
C11,C48
C34,C4
C45,C46
C14,C54
C31,C71
C35,C40
C20,C4
C53,C54
C24,C63
C31,C39
C25,C7
C4,C8
C18,C64
C67,C68
C15,C7
C13,C9
C48,C49
C27,C29
C45,C61
C4,C5
C41,C42
C37,C40
C63,C9
C46,C9
C28,C34
C42,C44
C48,C9
C14,C15
C59,C60
C18,C19
C31,C69
C29,C4
C16,C34
C24,C25
C45,C9
C69,C70
C36,C51
C1,C30
C31,C54
C55,C56
C11,C13
C24,C35
C33,C40
C31,C42
C69,C71
C63,C64
C31,C40
C18,C29
