!!NAME	NICK NAME
AARON	RON
ABEL	ABE
ABEDNEGO	BEDNEY
ABIJAH	AB
ABIJAH	BIGE
ABIGAIL	AB
ABIGAIL	ABBIE
ABIGAIL	ABBY
ABIGAIL	ABBY
ABIGAIL	GAIL
ABIGAIL	NABBY
ABNER	AB
ABNER	ABBIE
ABRAHAM	ABE
ABRAHAM	ABRAM
ABRAHAM	BRAM
ABSALOM	AB
ABSALOM	ABBIE
ABSALOM	APP
ADALINE	ADA
ADALINE	ADELA
ADALINE	ALINE
ADALINE	EDITH
ADAM	ADE
ADAM	EDIE
ADDY	AD
ADELAIDE	ADA
ADELAIDE	ADDIE
ADELAIDE	ADELA
ADELAIDE	ADELINE
ADELAIDE	DELLA
ADELAIDE	HEIDE
ADELA	DELLA
ADELAIDE	ADDIE
ADELBERT	ALBERT
ADELBERT	DEL
ADELBERT	DELBERT
ADELBERT	BERT
ADELINE	ADDIE
ADELINE	LINNEY
ADOLPHUS	ADO
ADOLPHUS	ADOLPH
ADOLPHUS	DOLPH
ADRIAN	RIAN
ADRIENNE	ADRIAN
AGATHA	ADDY
AGATHA	AG
AGATHA	AGGIE
AGATHA	AGNES
AGGY	AG
AGNES	AGGY
AGNES	ANN
AGNES	NANCY
AGNES	NESSIE
AILEEN	HELEN
ALANSON	AL
ALANSON	LANSON
ALASTAIR	AL
ALAZAMA	ALI
ALBERT	AL
ALBERT	BERT
ALBERT	BIRD
ALBERTA	ABERTINA
ALBERTA	ALBERTINE
ALBERTA	ALLIE
ALBERTA	BERT
ALBERTA	BERTIE
ALEVA	LEVE
ALEVA	LEVY
ALEXANDER	ALA
ALEXANDER	ALEC
ALEXANDER	ALEX
ALEXANDER	ANDI
ALEXANDER	EC
ALEXANDER	LEX
ALEXANDER	SANDY
ALEXANDER	XANDRA
ALEXANDRA	LEXA
ALEXANDRA	XAN
ALEXANDRIA	ALLA
ALEXANDRIA	DRINA
ALEXANDRIA	ALLA
ALEXANDRIA	ELLIE
ALEXIS	LEXI
ALFRED	AL
ALFRED	ALF
ALFRED	ALFIE
ALFRED	FRED
ALFREDA	ALFY
ALFREDA	FRIEDA
ALGERNON	ALGY
ALICIA	ALLY
ALICE	ALCY
ALICE	ALICIA
ALICE	ALLIE
ALICE	ELSIE
ALICE	LISA
ALINE	ADELINE
ALISON	ALI
ALMENA	ALLIE
ALMENA	MENA
ALMINA	MINNIE
ALONZO	AL
ALONZO	ALPHONZO
ALONZO	LON
ALONZO	LONNIE
ALONZO	LONZO
ALPHINIAS	ALPHUS
ALMIRA	MYRA
ALVERTA	VERT
ALVERTA	VIRDIE
ALYSSA	AL
ALYSSA	ALLY
ALYSSA	LISSIA
ALZADA	ZADA
AMANDA	AMY
AMANDA	MANDA
AMANDA	MANDANA
AMANDA	MANDY
AMBROSE	BROSE
AMELIA	AMY
AMELIA	EMILY
AMELIA	MEL
AMELIA	MELIA
AMELIA	MILLIE
AMERICA	MEC
AMOS	MOSES
ANASTASIA	ANA
ANASTASIA	STACY
ANDREA	DREA
ANDREA	REA
ANDREW	ANDY
ANDREW	ANSEY
ANDREW	DREW
ANGELA	ANGEL
ANGELA	ANGELICA
ANGELA	ANGELINA
ANGELA	ANGELINE
ANGELA	ANGIE
ANGELA	JANE
ANGELINA	LINA
ANN	HANNAH
ANN	NAN
ANN	NANNY
ANN	NANCY
ANN	NANA
ANN	SUSANNA
ANNA	HANNAH
ANNA	NAN
ANNA	NANNY
ANNA	NANCY
ANNA	NANA
ANNA	SUSANNA
ANNE	HANNAH
ANNE	NAN
ANNE	NANNY
ANNE	NANCY
ANNE	NANA
ANNE	SUSANNA
ANNIE	HANNAH
ANNIE	NAN
ANNIE	NANNY
ANNIE	NANCY
ANNIE	NANA
ANNIE	SUSANNA
ANNETTE	ANNA
ANNETTE	NETTIE
ANSELM	ANSE
ANSELM	ANCE
ANSELM	ANSEL
ANTHONY	TONY
ANTOINETTE	ANTONIA
ANTOINETTE	NET
ANTOINETTE	NETTIE
ANTOINETTE	TONIE
ANTONIA	NETTIE
APPOLINE	APPIE
APPOLINE	APPY
AQUILLA	QUIL
AQUILLA	QUILLIE
ARABELLA	ARA
ARABELLA	BELLA
ARABELLA	BELLE
ARAMINTA	MIDDIE
ARAMINTA	MINTY
ARAMINTA	RUMINTA
ARMIDA	MIDDIE
ARMIDA	MINTY
ARMIDA	RUMINTA
ARCHIBALD	ARCHIE
ARCHIBALD	BALDIE
ARIADNE	ARIE
ARIELLE	ARIE
ARCHILLES	KILL
ARCHILLES	KILLIS
ARISTOTLE	TELLY
ARIZONA	ONA
ARIZONA	ONIE
ARLENE	LENA
ARMANDA	MANDY
ARMILDA	MILLY
ARMINDA	MINDIE
ARMINTA	MINITE
ARMINTA	MINNIE
ARNOLD	ARNIE
ARTELEPSA	EPSEY
ARTEMUS	ART
ARTHUR	ART
ARTHUSA	THURSA
ARZADA	ZADDI
ASENATH	ASSENE
ASENATH	NATHEY
ASENATH	SENE
AUBREY	BREE
AUDREY	DEE
AUGUSTA	AGGY
AUGUSTA	AUGIE
AUGUSTA	GUSIE
AUGUSTA	GUSSIE
AUGUSTA	INA
AUGUSTA	TINA
AUGUSTINA	AGGY
AUGUSTINA	AUGIE
AUGUSTINA	GUSIE
AUGUSTINA	GUSSIE
AUGUSTINA	INA
AUGUSTINA	TINA
AUGUSTINE	GUS
AUGUSTINE	GUSTUS
AUGUSTUS	GUS
AUGUSTUS	GUSTUS
AURELIA	ORA
AURELIA	REE
AURELIA	RILLY
AURILLA	ORA
AURILLA	REE
AURILLA	RILLY
ORILLA	ORA
ORILLA	REE
ORILLA	RILLY
AVARILLA	RILLA
BARBARA	BABS
BARBARA	BARB
BARBARA	BARBIE
BARBARA	BARBY
BARBARA	BOBBIE
BARBARA	BONNIE
BARBERY	BARBARA
BARNABAS	BARNEY
BARNARD	BARNEY
BARNARD	BERNIE
BERNARD	BARNEY
BERNARD	BERNIE
BARTHOLOMEW	BART
BARTHOLOMEW	BARTEL
BARTHOLOMEW	BARTH
BARTHOLOMEW	BAT
BARTICUS	BART
BAZALEEL	BASIL
BEATRICE	BEA
BEATRICE	TRISHA
BEATRICE	TRISSY
BEATRICE	TRIXIE
BEDELIA	DELIA
BEDELIA	BRIDGIT
BELINDA	BELL
BELINDA	BELLE
BELINDA	LINDA
BENEDICT	BENNETT
BENGTA	BEN
BENGTHA	BEN
BENJAMIN	BEN
BENJAMIN	BENJIE
BENJAMIN	BENNIE
BENJAMIN	JAMIE
BERTRAM	BERT
BERTHA	BERTIE
BETHENA	BETH
BETHENA	THANEY
BEVERLY	BEV
BEZALEEL	ZEELY
BLANCHE	BEA
BOETIUS	BO
BRENDA	BRANDY
BRIDGET	BIDDY
BRIDGET	BRIDIE
BRIDGET	BRIE
BRIDGET	DELIA
BRIAN	BRYAN
BRIAN	BRYANT
BRITTANY	BRITT
CALDONIA	CALLIE DONA
CALEB	CAL
CALIFORNIA	CALLIE
CALISTA	KISSY
CALPURNIA	CALLY
CALVIN	CAL
CAMERON	CAM
CAMILLE	CAMMY
CAMILLE	MILLIE
CAMPBELL	CAM
CANDACE	CANDY
CANDACE	DACEY
CARL	CHARLES
CARL	KARL
CARLOTTA	LOTTIE
