,index,precision,recall,f1-score,support
0,USAD_SNO,0.9826086956521739,1.0,0.9912280701754386,113.0
1,USAD_SPR,1.0,0.9230769230769231,0.9600000000000001,13.0
2,USAD_SNM,1.0,1.0,1.0,130.0
3,USAD_SFX,0.9922480620155039,1.0,0.9961089494163424,128.0
4,USAD_SPT,0.9230769230769231,1.0,0.9600000000000001,12.0
5,USAD_ANM,1.0,1.0,1.0,91.0
6,USAD_ANO,1.0,0.9782608695652174,0.989010989010989,92.0
7,USAD_CTY,0.9930313588850174,0.9827586206896551,0.9878682842287695,290.0
8,USAD_STA,0.9896551724137931,1.0,0.9948006932409013,287.0
9,USAD_ZIP,0.9967948717948718,0.9967948717948718,0.9967948717948718,312.0
10,USAD_BNM,0.9931506849315068,1.0,0.9965635738831615,145.0
11,USAD_BNO,0.9731543624161074,0.9863945578231292,0.9797297297297297,147.0
12,USAD_RNM,0.98,1.0,0.98989898989899,49.0
13,USAD_RNO,0.98,0.98,0.98,50.0
14,USAD_ORG,1.0,0.9787234042553191,0.989247311827957,47.0
15,USAD_MDG,1.0,1.0,1.0,24.0
16,USAD_MGN,1.0,1.0,1.0,24.0
17,USAD_HNM,1.0,1.0,1.0,70.0
18,USAD_HNO,1.0,0.9436619718309859,0.9710144927536231,71.0
19,accuracy,0.9918854415274463,0.9918854415274463,0.9918854415274463,0.9918854415274463
20,macro avg,0.9896694805887315,0.9878774325808473,0.9885403134716197,2095.0
21,weighted avg,0.9919857407032235,0.9918854415274463,0.9918630174035367,2095.0
